LAT,LON,Total_Rn2200010
-20.35,-48.3,-1.9549880057669264
-20.35,-48.25,-1.9211087882112838
-20.35,-48.2,-1.8817745961752972
-20.35,-48.15,-1.8589412166650987
-20.35,-48.1,-1.9440605126603419
-20.35,-48.05,-1.9689934069804482
-20.35,-48.0,-1.9825921077004016
-20.3,-48.5,-1.9937720316221168
-20.3,-48.45,-1.9478310299428176
-20.3,-48.4,-1.921950875105352
-20.3,-48.35,-1.898853332682651
-20.3,-48.3,-1.8651885105103296
-20.3,-48.25,-1.762719789588337
-20.3,-48.2,-1.725610910819509
-20.3,-48.15,-1.6891821283511776
-20.3,-48.1,-1.7218547366345387
-20.3,-48.05,-1.7761621799486882
-20.3,-48.0,-1.7697233258205347
-20.3,-47.95,-1.8046971900462496
-20.3,-47.9,-1.890407138339828
-20.3,-47.85,-1.9284475182720247
-20.25,-48.5,-1.9698065163941934
-20.25,-48.45,-1.8899796531561897
-20.25,-48.4,-1.802818979104164
-20.25,-48.35,-1.7393557597708038
-20.25,-48.3,-1.7406676375818992
-20.25,-48.25,-1.6796204311230716
-20.25,-48.2,-1.5882781882946289
-20.25,-48.15,-1.5304210045743665
-20.25,-48.1,-1.4851531905406714
-20.25,-48.05,-1.5403701736053987
-20.25,-48.0,-1.5386500901781985
-20.25,-47.95,-1.58857113030482
-20.25,-47.9,-1.6469063068239995
-20.25,-47.85,-1.7211451693475281
-20.25,-47.8,-1.8699215814231742
-20.25,-47.75,-1.9356158790119589
-20.2,-48.55,-1.944589628371176
-20.2,-48.5,-1.8734256696754221
-20.2,-48.45,-1.808674648399659
-20.2,-48.4,-1.762286413059562
-20.2,-48.35,-1.6654152325467566
-20.2,-48.3,-1.6071946677191864
-20.2,-48.25,-1.5578693822775393
-20.2,-48.2,-1.4975856622376498
-20.2,-48.15,-1.3997483267290605
-20.2,-48.1,-1.3150154696777323
-20.2,-48.05,-1.2414956765767156
-20.2,-48.0,-1.2762111117443453
-20.2,-47.95,-1.2666165342527564
-20.2,-47.9,-1.350175676228081
-20.2,-47.85,-1.4660176276618546
-20.2,-47.8,-1.5902818347504446
-20.2,-47.75,-1.7213510486954984
-20.2,-47.7,-1.9316461400780975
-20.15,-48.55,-1.919691419336627
-20.15,-48.5,-1.8180154562091315
-20.15,-48.45,-1.7489820194660095
-20.15,-48.4,-1.6827378204605454
-20.15,-48.35,-1.6149216898606826
-20.15,-48.3,-1.534431314396516
-20.15,-48.25,-1.455427683149668
-20.15,-48.2,-1.347433290881738
-20.15,-48.15,-1.2545807007171352
-20.15,-48.1,-1.1494471261699069
-20.15,-48.05,-1.0039266182264392
-20.15,-48.0,-0.9104079845004737
-20.15,-47.95,-0.9414545171267924
-20.15,-47.9,-0.9866322887207226
-20.15,-47.85,-1.089838488318751
-20.15,-47.8,-1.2595528094363937
-20.15,-47.75,-1.5170600199028148
-20.15,-47.7,-1.7637598818512257
-20.1,-48.55,-1.9655689772516627
-20.1,-48.5,-1.896042438412463
-20.1,-48.45,-1.7874183308279974
-20.1,-48.4,-1.6787396496417144
-20.1,-48.35,-1.5694292838886343
-20.1,-48.3,-1.4574170210610704
-20.1,-48.25,-1.355904383861867
-20.1,-48.2,-1.2222588557366414
-20.1,-48.15,-1.0831422772137487
-20.1,-48.1,-0.9503930333461629
-20.1,-48.05,-0.7864135564543172
-20.1,-48.0,-0.5642073823966635
-20.1,-47.95,-0.48613059130223185
-20.1,-47.9,-0.5011378637384735
-20.1,-47.85,-0.6137891802551523
-20.1,-47.8,-0.9132546501593002
-20.1,-47.75,-1.2727332739154398
-20.1,-47.7,-1.5930848426007553
-20.1,-47.65,-1.8991723314213906
-20.05,-48.5,-1.9247510779798385
-20.05,-48.45,-1.8465967542124526
-20.05,-48.4,-1.7231154412126375
-20.05,-48.35,-1.608755566643465
-20.05,-48.3,-1.4736260474215872
-20.05,-48.25,-1.3302799794554698
-20.05,-48.2,-1.1682520140513573
-20.05,-48.15,-0.9884629581746819
-20.05,-48.1,-0.7606244542581321
-20.05,-48.05,-0.5239045340593436
-20.05,-48.0,-0.22610508445369612
-20.05,-47.95,0.13776231087158555
-20.05,-47.9,0.32837397089258036
-20.05,-47.85,0.09258373733871074
-20.05,-47.8,-0.5174121886945316
-20.05,-47.75,-1.0327979298172747
-20.05,-47.7,-1.4419442728223357
-20.05,-47.65,-1.7842867704132768
-20.0,-48.6,-1.9052782768859926
-20.0,-48.55,-1.8171796951158603
-20.0,-48.5,-1.7410529390032476
-20.0,-48.45,-1.6468536784887533
-20.0,-48.4,-1.501153375117746
-20.0,-48.35,-1.3870591290027594
-20.0,-48.3,-1.2503614388000452
-20.0,-48.25,-1.0915782370628566
-20.0,-48.2,-0.9052278903083953
-20.0,-48.15,-0.6575719026630904
-20.0,-48.1,-0.384766226639579
-20.0,-48.05,-0.03533625686117122
-20.0,-48.0,0.44541195492231483
-20.0,-47.95,1.2071078409231075
-20.0,-47.9,2.2174325306721943
-20.0,-47.85,1.4714913972165116
-20.0,-47.8,0.13380281902790922
-20.0,-47.75,-0.6581846514891212
-20.0,-47.7,-1.2072060195021488
-20.0,-47.65,-1.62260614640255
-19.95,-48.6,-1.989654833190877
-19.95,-48.55,-1.9092813396672088
-19.95,-48.5,-1.7983202960463425
-19.95,-48.45,-1.6694988457923288
-19.95,-48.4,-1.5426330818990412
-19.95,-48.35,-1.4026124476887307
-19.95,-48.3,-1.25085134831636
-19.95,-48.25,-1.1090494096573031
-19.95,-48.2,-0.9141489864029925
-19.95,-48.15,-0.7110936653135759
-19.95,-48.1,-0.4359683807891902
-19.95,-48.05,-0.10779429429162674
-19.95,-48.0,0.30777593479219384
-19.95,-47.95,0.8856263205013689
-19.95,-47.9,1.6625616248001895
-19.95,-47.85,1.2349891370408683
-19.95,-47.8,0.17359092093713507
-19.95,-47.75,-0.5787150105688614
-19.95,-47.7,-1.067019173691685
-19.95,-47.65,-1.5227617334930537
-19.95,-47.6,-1.8609472585983493
-19.9,-48.55,-1.9878613406494992
-19.9,-48.5,-1.8877881307637718
-19.9,-48.45,-1.7649128706474642
-19.9,-48.4,-1.634936414216008
-19.9,-48.35,-1.527471800773686
-19.9,-48.3,-1.3956443942261063
-19.9,-48.25,-1.2559892129686923
-19.9,-48.2,-1.1179404910976065
-19.9,-48.15,-0.9550422792090026
-19.9,-48.1,-0.7656808869161916
-19.9,-48.05,-0.5589785202734826
-19.9,-48.0,-0.36548861968620544
-19.9,-47.95,-0.032028699895917445
-19.9,-47.9,0.199814743528467
-19.9,-47.85,0.009701896742899088
-19.9,-47.8,-0.4012911477893178
-19.9,-47.75,-0.8603537708443589
-19.9,-47.7,-1.2782128208147416
-19.9,-47.65,-1.6264005813326678
-19.9,-47.6,-1.945176878255875
-19.85,-48.5,-1.9717398858953208
-19.85,-48.45,-1.8805365023837413
-19.85,-48.4,-1.793323334652757
-19.85,-48.35,-1.6870716986247227
-19.85,-48.3,-1.6058259337604608
-19.85,-48.25,-1.5029111348885043
-19.85,-48.2,-1.4169699149241082
-19.85,-48.15,-1.3032694106601224
-19.85,-48.1,-1.1858946244423898
-19.85,-48.05,-1.0199327669603182
-19.85,-48.0,-0.8488511034976102
-19.85,-47.95,-0.6675796006493212
-19.85,-47.9,-0.6388205708929141
-19.85,-47.85,-0.7936908513721429
-19.85,-47.8,-0.9379849984857264
-19.85,-47.75,-1.2793735264162802
-19.85,-47.7,-1.5516367962667665
-19.85,-47.65,-1.8762376336307434
-19.8,-48.35,-1.9346019984627683
-19.8,-48.3,-1.8311108708603774
-19.8,-48.25,-1.7792762664239845
-19.8,-48.2,-1.7129833989467307
-19.8,-48.15,-1.6170067132815538
-19.8,-48.1,-1.489524520571285
-19.8,-48.05,-1.4028983348726523
-19.8,-48.0,-1.2443057691389385
-19.8,-47.95,-1.128575183232189
-19.8,-47.9,-1.1924992794481746
-19.8,-47.85,-1.2983280686654115
-19.8,-47.8,-1.4833155002570177
-19.8,-47.75,-1.632830097274193
-19.8,-47.7,-1.8944592041166521
-19.75,-48.2,-1.982554812186975
-19.75,-48.15,-1.891970693032547
-19.75,-48.1,-1.818355299370881
-19.75,-48.05,-1.6977320568299985
-19.75,-48.0,-1.6209442087725037
-19.75,-47.95,-1.589821588849328
-19.75,-47.9,-1.696767851772892
-19.75,-47.85,-1.682008842665314
-19.75,-47.8,-1.8220859525012147
-19.75,-47.75,-1.9882124754491772
-19.7,-48.0,-1.9309632763863975
-19.7,-47.95,-1.9108106912343066
